Criminal,Air pollution,number of rooms,school level,house price
146.336,6.050,7.489,14.700,50.000
183.377,6.050,7.802,14.700,50.000
151.902,6.050,8.375,14.700,50.000
224.236,6.050,5.854,14.700,22.700
292.400,6.050,6.101,14.700,25.000
201.019,6.050,7.929,14.700,50.000
180.028,6.050,5.877,14.700,23.800
230.040,6.050,6.319,14.700,23.800
244.953,6.050,6.402,14.700,22.300
120.742,6.050,5.875,14.700,17.400
231.390,6.050,5.880,14.700,19.100
13.914,5.100,5.572,16.600,23.100
9.178,5.100,6.416,16.600,23.600
8.447,5.100,5.859,16.600,22.600
6.664,5.100,6.546,16.600,29.400
7.022,5.100,6.020,16.600,23.200
5.425,5.100,6.315,16.600,24.600
6.642,5.100,6.860,16.600,29.900
5.780,4.880,6.980,17.800,37.200
6.588,4.880,7.765,17.800,39.800
6.888,4.880,6.144,17.800,36.200
9.103,4.880,7.155,17.800,37.900
10.008,4.880,6.563,17.800,32.500
8.308,4.880,5.604,17.800,26.400
6.047,4.880,6.153,17.800,29.600
5.602,4.880,7.831,17.800,50.000
7.875,4.370,6.782,15.200,32.000
12.579,4.370,6.556,15.200,29.800
8.370,4.370,7.185,15.200,34.900
9.068,4.370,6.951,15.200,37.000
6.911,4.370,6.739,15.200,30.500
8.664,4.370,7.178,15.200,36.400
2.187,4.010,6.800,15.600,31.100
1.439,4.010,6.604,15.600,29.100
1.381,4.220,7.875,14.400,50.000
4.011,4.040,7.287,12.600,33.300
4.666,4.040,7.107,12.600,30.300
3.768,4.040,7.274,12.600,34.600
3.150,4.030,6.975,17.000,34.900
1.778,4.030,7.135,17.000,32.900
3.445,4.150,6.162,14.700,24.100
2.177,4.150,7.610,14.700,42.300
3.510,4.161,7.853,14.700,48.500
2.009,4.161,8.034,14.700,50.000
13.642,4.890,5.891,18.600,22.600
22.969,4.890,6.326,18.600,24.400
25.199,4.890,5.783,18.600,22.500
13.587,4.890,6.064,18.600,24.400
43.571,4.890,5.344,18.600,20.000
17.446,4.890,5.960,18.600,21.700
37.578,4.890,5.404,18.600,19.300
21.719,4.890,5.807,18.600,22.400
14.052,4.890,6.375,18.600,28.100
28.955,4.890,5.412,18.600,23.700
19.802,4.890,6.182,18.600,25.000
4.560,5.500,5.888,16.400,23.300
7.013,5.500,6.642,16.400,28.700
11.069,5.500,5.951,16.400,21.500
11.425,5.500,6.373,16.400,23.000
35.809,5.070,6.951,17.400,26.700
40.771,5.070,6.164,17.400,21.700
62.356,5.070,6.879,17.400,27.500
61.470,5.070,6.618,17.400,30.100
31.533,5.040,8.266,17.400,44.800
52.693,5.040,8.725,17.400,50.000
38.214,5.040,8.040,17.400,37.600
41.238,5.040,7.163,17.400,31.600
29.819,5.040,7.686,17.400,46.700
44.178,5.040,6.552,17.400,31.500
53.700,5.040,5.981,17.400,24.300
46.296,5.040,7.412,17.400,31.700
57.529,5.070,8.337,17.400,41.700
33.147,5.070,8.247,17.400,48.300
44.791,5.070,6.726,17.400,29.000
33.045,5.070,6.086,17.400,24.000
52.058,5.070,6.631,17.400,25.100
51.183,5.070,7.358,17.400,31.500
8.244,4.280,6.481,16.600,23.700
9.252,4.280,6.606,16.600,23.300
11.329,4.280,6.897,16.600,22.000
10.612,4.280,6.095,16.600,20.100
10.290,4.280,6.358,16.600,22.200
12.757,4.280,6.393,16.600,23.700
20.608,4.310,5.593,19.100,17.600
19.133,4.310,5.605,19.100,18.500
33.983,4.310,6.108,19.100,24.300
19.657,4.310,6.226,19.100,20.500
16.439,4.310,6.433,19.100,24.500
19.073,4.310,6.718,19.100,26.200
14.030,4.310,6.487,19.100,24.400
21.409,4.310,6.438,19.100,24.800
8.221,4.310,6.957,19.100,29.600
36.894,4.310,8.259,19.100,42.800
4.819,3.920,6.108,16.400,21.900
3.548,3.920,5.876,16.400,20.900
1.538,3.940,7.454,15.900,44.000
61.154,6.470,8.704,13.000,50.000
66.351,6.470,7.333,13.000,36.000
65.665,6.470,6.842,13.000,30.100
54.011,6.470,7.203,13.000,33.800
53.412,6.470,7.520,13.000,43.100
52.014,6.470,8.398,13.000,48.800
82.526,6.470,7.327,13.000,31.000
55.007,6.470,7.206,13.000,36.500
76.162,6.470,5.560,13.000,22.800
78.570,6.470,7.014,13.000,30.700
57.834,5.750,8.297,13.000,50.000
54.050,5.750,7.470,13.000,43.500
9.065,4.640,5.920,18.600,20.700
29.916,4.640,5.856,18.600,21.100
16.211,4.640,6.240,18.600,25.200
11.460,4.640,6.538,18.600,24.400
22.188,4.640,7.691,18.600,35.200
5.644,4.470,6.758,17.600,32.400
9.604,4.470,6.854,17.600,32.000
10.469,4.470,7.267,17.600,33.200
6.127,4.470,6.826,17.600,33.100
7.978,4.470,6.482,17.600,29.100
21.038,4.429,6.812,14.900,35.100
3.578,4.429,7.820,14.900,45.400
3.705,4.429,6.968,14.900,35.400
6.129,4.429,7.645,14.900,46.000
1.501,4.010,7.923,13.600,50.000
0.906,4.000,7.088,15.300,32.200
1.096,3.890,6.453,15.300,22.000
1.965,3.850,6.230,18.200,20.100
3.871,4.050,6.209,16.600,23.200
4.590,4.050,6.315,16.600,22.300
4.297,4.050,6.565,16.600,24.800
3.502,4.110,6.861,19.200,28.500
7.886,4.110,7.148,19.200,37.300
3.615,4.110,6.630,19.200,27.900
8.265,4.370,6.127,16.000,23.900
8.199,4.370,6.009,16.000,21.700
12.932,4.370,6.678,16.000,28.600
5.372,4.370,6.549,16.000,27.100
14.103,4.370,5.790,16.000,20.300
6.466,4.000,6.345,14.800,22.500
5.561,4.000,7.041,14.800,29.000
4.417,4.000,6.871,14.800,24.800
3.537,4.330,6.590,16.100,22.000
9.266,4.330,6.495,16.100,26.400
10.000,4.330,6.982,16.100,33.100
5.515,4.720,7.236,18.400,36.100
5.479,4.720,6.616,18.400,28.400
7.503,4.720,7.420,18.400,33.400
4.932,4.720,6.849,18.400,28.200
49.298,5.440,6.635,18.400,22.800
34.940,5.440,5.972,18.400,20.300
263.548,5.440,4.973,18.400,16.100
79.041,5.440,6.122,18.400,22.100
26.169,5.440,6.023,18.400,19.400
26.938,5.440,6.266,18.400,21.600
36.920,5.440,6.567,18.400,23.800
25.356,5.440,5.705,18.400,16.200
31.827,5.440,5.914,18.400,17.800
24.522,5.440,5.782,18.400,19.800
40.202,5.440,6.382,18.400,23.100
47.547,5.440,6.113,18.400,21.000
16.760,4.930,6.426,19.600,23.800
18.159,4.930,6.376,19.600,23.100
35.114,4.930,6.041,19.600,20.400
28.392,4.930,5.708,19.600,18.500
34.109,4.930,6.415,19.600,25.000
19.186,4.930,6.431,19.600,24.600
30.347,4.930,6.312,19.600,23.000
24.103,4.930,6.083,19.600,22.200
6.617,4.600,5.868,16.900,19.300
6.724,4.600,6.333,16.900,22.600
4.544,4.600,6.144,16.900,19.800
5.023,4.379,5.706,16.900,17.100
3.466,4.379,6.031,16.900,19.400
5.083,5.150,6.316,20.200,22.200
3.738,5.150,6.310,20.200,20.700
3.961,5.150,6.037,20.200,21.100
3.427,5.150,5.869,20.200,19.500
3.041,5.150,5.895,20.200,18.500
3.306,5.150,6.059,20.200,20.600
5.497,5.150,5.985,20.200,19.000
6.151,5.150,5.968,20.200,18.700
1.301,4.420,7.241,15.500,32.700
2.498,5.180,6.540,15.900,16.500
2.543,4.840,6.696,17.600,23.900
3.049,4.840,6.874,17.600,31.200
3.113,4.420,6.014,18.800,17.500
6.162,4.420,5.898,18.800,17.200
1.870,4.290,6.516,17.900,23.100
1.501,4.350,6.635,17.000,24.500
2.899,4.290,6.939,19.700,26.600
6.211,4.290,6.490,19.700,22.900
7.950,4.110,6.579,18.300,24.100
7.244,4.110,5.884,18.300,18.600
1.709,4.100,6.728,17.000,30.100
4.301,4.130,5.663,22.000,18.200
10.659,4.130,5.936,22.000,20.600
898.296,7.700,6.212,20.200,17.800
384.970,7.700,6.395,20.200,21.700
520.177,7.700,6.127,20.200,22.700
426.131,7.700,6.112,20.200,22.600
454.192,7.700,6.398,20.200,25.000
383.684,7.700,6.251,20.200,19.900
367.822,7.700,5.362,20.200,20.800
422.239,7.700,5.803,20.200,16.800
347.428,7.180,8.780,20.200,21.900
455.587,7.180,3.561,20.200,27.500
369.695,7.180,4.963,20.200,21.900
1352.220,6.310,3.863,20.200,23.100
489.822,6.310,4.970,20.200,50.000
566.998,6.310,6.683,20.200,50.000
653.876,6.310,7.016,20.200,50.000
923.230,6.310,6.216,20.200,50.000
826.725,6.680,5.875,20.200,50.000
1110.810,6.680,4.906,20.200,13.800
1849.820,6.680,4.138,20.200,13.800
1960.910,6.710,7.313,20.200,15.000
1528.800,6.710,6.649,20.200,13.900
982.349,6.710,6.794,20.200,13.300
2364.820,6.710,6.380,20.200,13.100
1786.670,6.710,6.223,20.200,10.200
8897.620,6.710,6.968,20.200,10.400
1587.440,6.710,6.545,20.200,10.900
918.702,7.000,5.536,20.200,11.300
799.248,7.000,5.520,20.200,12.300
2008.490,7.000,4.368,20.200,8.800
1681.180,7.000,5.277,20.200,7.200
2439.380,7.000,4.652,20.200,10.500
2259.710,7.000,5.000,20.200,7.400
1433.370,7.000,4.880,20.200,10.200
815.174,7.000,5.390,20.200,11.500
696.215,7.000,5.713,20.200,15.100
529.305,7.000,6.051,20.200,23.200
1157.790,7.000,5.036,20.200,9.700
864.476,6.930,6.193,20.200,13.800
1335.980,6.930,5.887,20.200,12.700
871.675,6.930,6.471,20.200,13.100
587.205,6.930,6.405,20.200,12.500
767.202,6.930,5.747,20.200,8.500
3835.180,6.930,5.453,20.200,5.000
991.655,6.930,5.852,20.200,6.300
2504.610,6.930,5.987,20.200,5.600
1423.620,6.930,6.343,20.200,7.200
959.571,6.930,6.404,20.200,12.100
2480.170,6.930,5.349,20.200,8.300
4152.920,6.930,5.531,20.200,8.500
6792.080,6.930,5.683,20.200,5.000
2071.620,6.590,4.138,20.200,11.900
1195.110,6.590,5.608,20.200,27.900
740.389,5.970,5.617,20.200,17.200
1443.830,5.970,6.852,20.200,27.500
5113.580,5.970,5.757,20.200,15.000
1405.070,5.970,6.657,20.200,17.200
1881.100,5.970,4.628,20.200,17.900
2865.580,5.970,5.155,20.200,16.300
4574.610,6.930,4.519,20.200,7.000
1808.460,6.790,6.434,20.200,7.200
1083.420,6.790,6.782,20.200,7.500
2594.060,6.790,5.304,20.200,10.400
7353.410,6.790,5.957,20.200,8.800
1181.230,7.180,6.824,20.200,8.400
1108.740,7.180,6.411,20.200,16.700
702.259,7.180,6.006,20.200,14.200
1204.820,6.140,5.648,20.200,20.800
705.042,6.140,6.103,20.200,13.400
879.212,5.840,5.565,20.200,11.700
1586.030,6.790,5.896,20.200,8.300
1224.720,5.840,5.837,20.200,10.200
3766.190,6.790,6.202,20.200,10.900
736.711,6.790,6.193,20.200,11.000
933.889,6.790,6.380,20.200,9.500
849.213,5.840,6.348,20.200,14.500
1006.230,5.840,6.833,20.200,14.100
644.405,5.840,6.425,20.200,16.100
558.107,7.130,6.436,20.200,14.300
1391.340,7.130,6.208,20.200,11.700
1116.040,7.400,6.629,20.200,13.400
1442.080,7.400,6.461,20.200,9.600
1517.720,7.400,6.152,20.200,8.700
1367.810,7.400,5.935,20.200,8.400
939.063,7.400,5.627,20.200,12.800
2205.110,7.400,5.818,20.200,10.500
972.418,7.400,6.406,20.200,17.100
566.637,7.400,6.219,20.200,18.400
996.654,7.400,6.485,20.200,15.400
1280.230,7.400,5.854,20.200,10.800
1067.180,7.400,6.459,20.200,11.800
628.807,7.400,6.341,20.200,14.900
992.485,7.400,6.251,20.200,12.600
932.909,7.130,6.185,20.200,14.100
752.601,7.130,6.417,20.200,13.000
671.772,7.130,6.749,20.200,13.400
544.114,7.130,6.655,20.200,15.200
509.017,7.130,6.297,20.200,16.100
824.809,7.130,7.393,20.200,17.800
951.363,7.130,6.728,20.200,14.900
475.237,7.130,6.525,20.200,14.100
466.883,7.130,5.976,20.200,12.700
820.058,7.130,5.936,20.200,13.500
775.223,7.130,6.301,20.200,14.900
680.117,7.130,6.081,20.200,20.000
481.213,7.130,6.701,20.200,16.400
369.311,7.130,6.376,20.200,17.700
665.492,7.130,6.317,20.200,19.500
582.115,7.130,6.513,20.200,20.200
783.932,6.550,6.209,20.200,21.400
316.360,6.550,5.759,20.200,19.900
377.498,6.550,5.952,20.200,19.000
442.228,5.840,6.003,20.200,19.100
1557.570,5.800,5.926,20.200,19.100
1307.510,5.800,5.713,20.200,20.100
434.879,5.800,6.167,20.200,19.900
403.841,5.320,6.229,20.200,19.600
356.868,5.800,6.437,20.200,23.200
464.689,6.140,6.980,20.200,29.800
805.579,5.840,5.427,20.200,13.800
639.312,5.840,6.162,20.200,13.300
487.141,6.140,6.484,20.200,16.700
1502.340,6.140,5.304,20.200,12.000
1023.300,6.140,6.185,20.200,14.600
1433.370,6.140,6.229,20.200,21.400
582.401,5.320,6.242,20.200,23.000
570.818,5.320,6.750,20.200,23.700
573.116,5.320,7.061,20.200,25.000
281.838,5.320,5.762,20.200,21.800
237.857,5.830,5.871,20.200,20.600
367.367,5.830,6.312,20.200,21.200
569.175,5.830,6.114,20.200,19.100
483.567,5.830,5.905,20.200,20.600
15.086,6.090,5.454,20.100,15.200
18.337,6.090,5.414,20.100,7.000
20.746,6.090,5.093,20.100,8.100
10.574,6.090,5.983,20.100,13.600
11.132,6.090,5.983,20.100,20.100
17.331,5.850,5.707,19.200,21.800
27.957,5.850,5.926,19.200,24.500
17.899,5.850,5.670,19.200,23.100
28.960,5.850,5.390,19.200,19.700
26.838,5.850,5.794,19.200,18.300
23.912,5.850,6.019,19.200,21.200
17.783,5.850,5.569,19.200,17.500
22.438,5.850,6.027,19.200,16.800
6.263,5.730,6.593,21.000,22.400
4.527,5.730,6.120,21.000,20.600
6.076,5.730,6.976,21.000,23.900
10.959,5.730,6.794,21.000,22.000
4.741,5.730,6.030,21.000,11.900
