image,x,y
sun_reg_156.png,120,211
sun_reg_157.png,85,65
sun_reg_158.png,188,135
sun_reg_159.png,60,102
sun_reg_160.png,90,214
sun_reg_161.png,97,105
sun_reg_162.png,144,171
sun_reg_163.png,102,193
sun_reg_164.png,41,66
sun_reg_165.png,211,92
sun_reg_166.png,49,72
sun_reg_167.png,201,105
sun_reg_168.png,193,99
sun_reg_169.png,177,76
sun_reg_170.png,163,57
sun_reg_171.png,68,88
sun_reg_172.png,126,118
sun_reg_173.png,162,211
sun_reg_174.png,44,177
sun_reg_175.png,54,114
sun_reg_176.png,177,107
sun_reg_177.png,193,111
sun_reg_178.png,60,104
sun_reg_179.png,58,182
sun_reg_180.png,45,180
sun_reg_181.png,115,145
sun_reg_182.png,72,43
sun_reg_183.png,77,199
sun_reg_184.png,114,71
sun_reg_185.png,177,84
sun_reg_186.png,195,51
sun_reg_187.png,217,127
sun_reg_188.png,46,161
sun_reg_189.png,49,56
sun_reg_190.png,187,97
sun_reg_191.png,214,190
sun_reg_192.png,122,117
sun_reg_193.png,211,116
sun_reg_194.png,135,73
sun_reg_195.png,156,117
sun_reg_196.png,188,118
sun_reg_197.png,102,126
sun_reg_198.png,67,134
sun_reg_199.png,71,32
sun_reg_200.png,124,104
sun_reg_201.png,90,100
sun_reg_202.png,135,161
sun_reg_203.png,154,126
sun_reg_204.png,86,165
sun_reg_205.png,124,99
sun_reg_206.png,56,63
sun_reg_207.png,211,222
sun_reg_208.png,176,62
sun_reg_209.png,133,131
sun_reg_210.png,132,65
sun_reg_211.png,152,143
sun_reg_212.png,67,176
sun_reg_213.png,217,57
sun_reg_214.png,151,223
sun_reg_215.png,182,85
sun_reg_216.png,207,110
sun_reg_217.png,182,116
sun_reg_218.png,209,103
sun_reg_219.png,183,55
sun_reg_220.png,55,185
sun_reg_221.png,93,55
sun_reg_222.png,160,46
sun_reg_223.png,99,102
sun_reg_224.png,42,184
sun_reg_225.png,37,151
sun_reg_226.png,65,149
sun_reg_227.png,83,40
sun_reg_228.png,118,42
sun_reg_229.png,109,184
sun_reg_230.png,205,100
sun_reg_231.png,186,34
sun_reg_232.png,92,138
sun_reg_233.png,105,200
sun_reg_234.png,59,198
sun_reg_235.png,42,59
sun_reg_236.png,84,173
sun_reg_237.png,68,216
sun_reg_238.png,219,222
sun_reg_239.png,201,200
sun_reg_240.png,92,164
sun_reg_241.png,215,183
sun_reg_242.png,218,105
sun_reg_243.png,49,122
sun_reg_244.png,188,45
sun_reg_245.png,205,103
sun_reg_246.png,99,159
sun_reg_247.png,95,172
sun_reg_248.png,119,128
sun_reg_249.png,126,136
sun_reg_250.png,105,177
sun_reg_251.png,205,192
sun_reg_252.png,192,70
sun_reg_253.png,221,223
sun_reg_254.png,143,42
sun_reg_255.png,95,213
sun_reg_256.png,167,35
sun_reg_257.png,68,107
sun_reg_258.png,146,38
sun_reg_259.png,201,104
sun_reg_260.png,71,192
sun_reg_261.png,53,192
sun_reg_262.png,83,50
sun_reg_263.png,93,82
sun_reg_264.png,145,84
sun_reg_265.png,209,114
sun_reg_266.png,122,43
sun_reg_267.png,85,171
sun_reg_268.png,167,201
sun_reg_269.png,166,140
sun_reg_270.png,148,170
sun_reg_271.png,196,208
sun_reg_272.png,64,112
sun_reg_273.png,193,224
sun_reg_274.png,223,128
sun_reg_275.png,39,181
sun_reg_276.png,170,220
sun_reg_277.png,104,186
sun_reg_278.png,57,65
sun_reg_279.png,153,168
sun_reg_280.png,162,157
sun_reg_281.png,130,133
sun_reg_282.png,35,126
sun_reg_283.png,89,178
sun_reg_284.png,78,160
sun_reg_285.png,128,196
sun_reg_286.png,58,109
sun_reg_287.png,218,166
sun_reg_288.png,195,205
sun_reg_289.png,103,222
sun_reg_290.png,110,223
sun_reg_291.png,74,105
sun_reg_292.png,127,150
sun_reg_293.png,145,153
sun_reg_294.png,191,113
sun_reg_295.png,162,141
sun_reg_296.png,142,36
sun_reg_297.png,175,71
sun_reg_298.png,93,90
sun_reg_299.png,63,150
sun_reg_300.png,77,159
sun_reg_301.png,140,114
sun_reg_302.png,134,123
sun_reg_303.png,122,52
sun_reg_304.png,203,63
sun_reg_305.png,61,86
sun_reg_306.png,32,43
sun_reg_307.png,38,115
sun_reg_308.png,34,130
sun_reg_309.png,217,196
sun_reg_310.png,132,45
sun_reg_311.png,149,67
sun_reg_312.png,178,48
sun_reg_313.png,47,59
sun_reg_314.png,32,115
sun_reg_315.png,183,132
sun_reg_316.png,173,172
sun_reg_317.png,101,208
sun_reg_318.png,62,68
sun_reg_319.png,209,176
sun_reg_320.png,83,172
sun_reg_321.png,87,75
sun_reg_322.png,94,34
sun_reg_323.png,164,74
sun_reg_324.png,157,110
sun_reg_325.png,118,126
sun_reg_326.png,223,77
sun_reg_327.png,177,70
sun_reg_328.png,130,44
sun_reg_329.png,44,112
sun_reg_330.png,152,123
sun_reg_331.png,105,110
sun_reg_332.png,120,67
sun_reg_333.png,45,33
sun_reg_334.png,221,181
sun_reg_335.png,97,180
sun_reg_336.png,60,180
sun_reg_337.png,32,215
sun_reg_338.png,81,197
sun_reg_339.png,146,94
sun_reg_340.png,36,205
sun_reg_341.png,191,99
sun_reg_342.png,206,107
sun_reg_343.png,41,199
sun_reg_344.png,101,125
sun_reg_345.png,207,213
sun_reg_346.png,133,76
sun_reg_347.png,125,77
sun_reg_348.png,107,214
sun_reg_349.png,47,214
sun_reg_350.png,224,160
sun_reg_351.png,201,83
sun_reg_352.png,124,41
sun_reg_353.png,159,70
sun_reg_354.png,181,94
sun_reg_355.png,172,33
sun_reg_356.png,142,143
sun_reg_357.png,193,148
sun_reg_358.png,96,139
sun_reg_359.png,201,217
sun_reg_360.png,204,108
sun_reg_361.png,47,36
sun_reg_362.png,141,151
sun_reg_363.png,155,205
sun_reg_364.png,57,65
sun_reg_365.png,125,106
sun_reg_366.png,103,154
sun_reg_367.png,92,57
sun_reg_368.png,194,138
sun_reg_369.png,67,59
sun_reg_370.png,45,215
sun_reg_371.png,191,87
sun_reg_372.png,122,47
sun_reg_373.png,35,122
sun_reg_374.png,202,125
sun_reg_375.png,44,78
sun_reg_376.png,220,64
sun_reg_377.png,133,127
sun_reg_378.png,82,209
sun_reg_379.png,224,144
sun_reg_380.png,179,61
sun_reg_381.png,161,89
sun_reg_382.png,172,61
sun_reg_383.png,151,168
sun_reg_384.png,39,55
sun_reg_385.png,155,172
sun_reg_386.png,205,100
sun_reg_387.png,150,176
sun_reg_388.png,148,208
sun_reg_389.png,117,168
sun_reg_390.png,38,157
sun_reg_391.png,116,213
sun_reg_392.png,94,156
sun_reg_393.png,80,127
sun_reg_394.png,76,150
sun_reg_395.png,109,192
sun_reg_396.png,179,136
sun_reg_397.png,67,109
sun_reg_398.png,129,174
sun_reg_399.png,210,86
sun_reg_400.png,34,209
sun_reg_401.png,166,78
sun_reg_402.png,95,77
sun_reg_403.png,52,54
sun_reg_404.png,138,201
sun_reg_405.png,148,41
sun_reg_406.png,160,158
sun_reg_407.png,35,59
sun_reg_408.png,103,80
sun_reg_409.png,65,214
sun_reg_410.png,33,70
sun_reg_411.png,177,174
sun_reg_412.png,78,95
sun_reg_413.png,185,154
sun_reg_414.png,63,94
sun_reg_415.png,84,213
sun_reg_416.png,130,103
sun_reg_417.png,190,38
sun_reg_418.png,198,57
sun_reg_419.png,124,112
sun_reg_420.png,202,194
sun_reg_421.png,136,133
sun_reg_422.png,92,217
sun_reg_423.png,80,171
sun_reg_424.png,160,194
sun_reg_425.png,150,136
sun_reg_426.png,115,153
sun_reg_427.png,200,97
sun_reg_428.png,96,197
sun_reg_429.png,156,197
sun_reg_430.png,173,149
sun_reg_431.png,155,163
sun_reg_432.png,95,167
sun_reg_433.png,115,99
sun_reg_434.png,96,109
sun_reg_435.png,69,109
sun_reg_436.png,224,146
sun_reg_437.png,116,85
sun_reg_438.png,205,62
sun_reg_439.png,124,211
sun_reg_440.png,33,43
sun_reg_441.png,163,178
sun_reg_442.png,215,175
sun_reg_443.png,92,151
sun_reg_444.png,77,186
sun_reg_445.png,88,52
sun_reg_446.png,184,89
sun_reg_447.png,219,131
sun_reg_448.png,131,100
sun_reg_449.png,195,66
sun_reg_450.png,189,178
sun_reg_451.png,132,47
sun_reg_452.png,104,200
sun_reg_453.png,72,132
sun_reg_454.png,118,74
sun_reg_455.png,114,43
sun_reg_456.png,198,129
sun_reg_457.png,86,101
sun_reg_458.png,36,220
sun_reg_459.png,59,109
sun_reg_460.png,89,168
sun_reg_461.png,57,185
sun_reg_462.png,181,145
sun_reg_463.png,117,57
sun_reg_464.png,35,174
sun_reg_465.png,57,104
sun_reg_466.png,195,71
sun_reg_467.png,184,58
sun_reg_468.png,170,155
sun_reg_469.png,48,170
sun_reg_470.png,58,217
sun_reg_471.png,224,161
sun_reg_472.png,158,130
sun_reg_473.png,86,152
sun_reg_474.png,52,115
sun_reg_475.png,166,33
sun_reg_476.png,204,76
sun_reg_477.png,198,103
sun_reg_478.png,183,215
sun_reg_479.png,116,138
sun_reg_480.png,188,196
sun_reg_481.png,167,33
sun_reg_482.png,156,128
sun_reg_483.png,72,165
sun_reg_484.png,212,159
sun_reg_485.png,86,206
sun_reg_486.png,174,186
sun_reg_487.png,63,129
sun_reg_488.png,151,95
sun_reg_489.png,166,117
sun_reg_490.png,130,127
sun_reg_491.png,105,113
sun_reg_492.png,164,222
sun_reg_493.png,210,143
sun_reg_494.png,137,170
sun_reg_495.png,40,100
sun_reg_496.png,95,44
sun_reg_497.png,123,142
sun_reg_498.png,219,160
sun_reg_499.png,73,109
sun_reg_500.png,150,70
sun_reg_501.png,134,199
sun_reg_502.png,39,82
sun_reg_503.png,162,201
sun_reg_504.png,148,82
sun_reg_505.png,194,137
sun_reg_506.png,153,170
sun_reg_507.png,193,75
sun_reg_508.png,86,138
sun_reg_509.png,199,81
sun_reg_510.png,110,111
sun_reg_511.png,127,63
sun_reg_512.png,190,116
sun_reg_513.png,156,174
sun_reg_514.png,178,202
sun_reg_515.png,171,193
sun_reg_516.png,109,56
sun_reg_517.png,175,203
sun_reg_518.png,115,206
sun_reg_519.png,90,215
sun_reg_520.png,128,77
sun_reg_521.png,59,197
sun_reg_522.png,38,163
sun_reg_523.png,54,92
sun_reg_524.png,111,38
sun_reg_525.png,159,106
sun_reg_526.png,179,81
sun_reg_527.png,199,220
sun_reg_528.png,191,213
sun_reg_529.png,224,207
sun_reg_530.png,44,122
sun_reg_531.png,204,149
sun_reg_532.png,193,104
sun_reg_533.png,207,149
sun_reg_534.png,52,51
sun_reg_535.png,75,43
sun_reg_536.png,92,140
sun_reg_537.png,129,147
sun_reg_538.png,172,65
sun_reg_539.png,142,69
sun_reg_540.png,41,209
sun_reg_541.png,138,148
sun_reg_542.png,204,138
sun_reg_543.png,54,85
sun_reg_544.png,161,193
sun_reg_545.png,194,123
sun_reg_546.png,63,67
sun_reg_547.png,221,204
sun_reg_548.png,158,107
sun_reg_549.png,117,161
sun_reg_550.png,203,75
sun_reg_551.png,164,113
sun_reg_552.png,117,192
sun_reg_553.png,196,201
sun_reg_554.png,40,93
sun_reg_555.png,73,177
sun_reg_556.png,125,218
sun_reg_557.png,210,173
sun_reg_558.png,205,179
sun_reg_559.png,48,217
sun_reg_560.png,42,34
sun_reg_561.png,85,131
sun_reg_562.png,44,128
sun_reg_563.png,223,156
sun_reg_564.png,39,212
sun_reg_565.png,168,123
sun_reg_566.png,164,34
sun_reg_567.png,184,91
sun_reg_568.png,98,155
sun_reg_569.png,168,182
sun_reg_570.png,115,73
sun_reg_571.png,33,160
sun_reg_572.png,133,74
sun_reg_573.png,97,101
sun_reg_574.png,89,181
sun_reg_575.png,92,140
sun_reg_576.png,212,162
sun_reg_577.png,160,62
sun_reg_578.png,61,209
sun_reg_579.png,211,134
sun_reg_580.png,128,91
sun_reg_581.png,49,197
sun_reg_582.png,127,78
sun_reg_583.png,68,211
sun_reg_584.png,124,134
sun_reg_585.png,104,153
sun_reg_586.png,184,131
sun_reg_587.png,113,60
sun_reg_588.png,119,93
sun_reg_589.png,143,113
sun_reg_590.png,48,196
sun_reg_591.png,199,148
sun_reg_592.png,67,206
sun_reg_593.png,224,133
sun_reg_594.png,134,180
sun_reg_595.png,106,197
sun_reg_596.png,55,143
sun_reg_597.png,99,66
sun_reg_598.png,217,47
sun_reg_599.png,216,70
sun_reg_600.png,89,192
sun_reg_601.png,59,221
sun_reg_602.png,144,209
sun_reg_603.png,34,187
sun_reg_604.png,60,33
sun_reg_605.png,120,70
sun_reg_606.png,100,131
sun_reg_607.png,69,208
sun_reg_608.png,67,99
sun_reg_609.png,137,75
sun_reg_610.png,33,142
sun_reg_611.png,67,203
sun_reg_612.png,40,32
sun_reg_613.png,93,107
sun_reg_614.png,82,141
sun_reg_615.png,176,161
sun_reg_616.png,206,104
sun_reg_617.png,69,76
sun_reg_618.png,109,66
sun_reg_619.png,220,208
sun_reg_620.png,196,132
sun_reg_621.png,223,40
sun_reg_622.png,37,168
sun_reg_623.png,69,178
sun_reg_624.png,68,76
sun_reg_625.png,97,212
sun_reg_626.png,66,200
sun_reg_627.png,79,164
sun_reg_628.png,127,153
sun_reg_629.png,45,158
sun_reg_630.png,105,105
sun_reg_631.png,79,165
sun_reg_632.png,128,202
sun_reg_633.png,130,215
sun_reg_634.png,92,44
sun_reg_635.png,40,56
sun_reg_636.png,191,206
sun_reg_637.png,216,181
sun_reg_638.png,88,71
sun_reg_639.png,118,40
sun_reg_640.png,142,209
sun_reg_641.png,120,40
sun_reg_642.png,99,140
sun_reg_643.png,222,201
sun_reg_644.png,40,54
sun_reg_645.png,139,122
sun_reg_646.png,122,127
sun_reg_647.png,206,78
sun_reg_648.png,149,69
sun_reg_649.png,223,37
sun_reg_650.png,117,172
sun_reg_651.png,97,154
sun_reg_652.png,171,163
sun_reg_653.png,152,197
sun_reg_654.png,215,176
sun_reg_655.png,206,210
sun_reg_656.png,80,133
sun_reg_657.png,36,191
sun_reg_658.png,199,141
sun_reg_659.png,197,214
sun_reg_660.png,190,123
sun_reg_661.png,150,111
sun_reg_662.png,209,126
sun_reg_663.png,206,62
sun_reg_664.png,160,114
sun_reg_665.png,110,145
sun_reg_666.png,167,205
sun_reg_667.png,155,96
sun_reg_668.png,120,73
sun_reg_669.png,199,208
sun_reg_670.png,172,74
sun_reg_671.png,92,136
sun_reg_672.png,197,223
sun_reg_673.png,166,173
sun_reg_674.png,191,81
sun_reg_675.png,124,138
sun_reg_676.png,89,102
sun_reg_677.png,54,110
sun_reg_678.png,90,128
sun_reg_679.png,75,191
sun_reg_680.png,80,217
sun_reg_681.png,123,122
sun_reg_682.png,206,143
sun_reg_683.png,56,218
sun_reg_684.png,47,154
sun_reg_685.png,194,135
sun_reg_686.png,47,76
sun_reg_687.png,126,129
sun_reg_688.png,146,65
sun_reg_689.png,112,59
sun_reg_690.png,201,86
sun_reg_691.png,74,174
sun_reg_692.png,181,165
sun_reg_693.png,39,209
sun_reg_694.png,43,224
sun_reg_695.png,117,154
sun_reg_696.png,61,224
sun_reg_697.png,193,204
sun_reg_698.png,89,191
sun_reg_699.png,59,143
sun_reg_700.png,32,174
sun_reg_701.png,58,145
sun_reg_702.png,113,203
sun_reg_703.png,50,38
sun_reg_704.png,213,224
sun_reg_705.png,35,55
sun_reg_706.png,218,43
sun_reg_707.png,132,117
sun_reg_708.png,37,80
sun_reg_709.png,118,100
sun_reg_710.png,88,187
sun_reg_711.png,94,74
sun_reg_712.png,110,65
sun_reg_713.png,208,183
sun_reg_714.png,32,119
sun_reg_715.png,93,56
sun_reg_716.png,133,161
sun_reg_717.png,185,129
sun_reg_718.png,217,152
sun_reg_719.png,99,93
sun_reg_720.png,87,171
sun_reg_721.png,197,194
sun_reg_722.png,34,107
sun_reg_723.png,60,209
sun_reg_724.png,59,61
sun_reg_725.png,156,95
sun_reg_726.png,63,163
sun_reg_727.png,39,169
sun_reg_728.png,138,200
sun_reg_729.png,187,159
sun_reg_730.png,133,46
sun_reg_731.png,126,123
sun_reg_732.png,154,224
sun_reg_733.png,43,108
sun_reg_734.png,138,111
sun_reg_735.png,47,68
sun_reg_736.png,149,105
sun_reg_737.png,149,201
sun_reg_738.png,153,90
sun_reg_739.png,217,114
sun_reg_740.png,167,103
sun_reg_741.png,80,110
sun_reg_742.png,66,74
sun_reg_743.png,130,158
sun_reg_744.png,197,38
sun_reg_745.png,72,123
sun_reg_746.png,37,65
sun_reg_747.png,41,189
sun_reg_748.png,221,218
sun_reg_749.png,212,142
sun_reg_750.png,140,62
sun_reg_751.png,84,54
sun_reg_752.png,143,58
sun_reg_753.png,160,32
sun_reg_754.png,79,137
sun_reg_755.png,79,83
sun_reg_756.png,90,154
sun_reg_757.png,158,49
sun_reg_758.png,207,75
sun_reg_759.png,46,56
sun_reg_760.png,65,148
sun_reg_761.png,142,75
sun_reg_762.png,55,147
sun_reg_763.png,106,37
sun_reg_764.png,63,53
sun_reg_765.png,211,170
sun_reg_766.png,38,60
sun_reg_767.png,140,56
sun_reg_768.png,143,137
sun_reg_769.png,189,93
sun_reg_770.png,182,113
sun_reg_771.png,84,43
sun_reg_772.png,183,59
sun_reg_773.png,179,35
sun_reg_774.png,100,84
sun_reg_775.png,114,63
sun_reg_776.png,222,179
sun_reg_777.png,61,50
sun_reg_778.png,207,212
sun_reg_779.png,160,204
sun_reg_780.png,191,75
sun_reg_781.png,168,185
sun_reg_782.png,168,145
sun_reg_783.png,156,86
sun_reg_784.png,44,156
sun_reg_785.png,208,156
sun_reg_786.png,42,32
sun_reg_787.png,192,116
sun_reg_788.png,103,103
sun_reg_789.png,51,107
sun_reg_790.png,178,51
sun_reg_791.png,210,186
sun_reg_792.png,53,116
sun_reg_793.png,201,149
sun_reg_794.png,174,70
sun_reg_795.png,39,179
sun_reg_796.png,164,205
sun_reg_797.png,94,102
sun_reg_798.png,161,160
sun_reg_799.png,167,127
sun_reg_800.png,126,68
sun_reg_801.png,177,88
sun_reg_802.png,81,146
sun_reg_803.png,103,194
sun_reg_804.png,94,91
sun_reg_805.png,137,107
sun_reg_806.png,83,204
sun_reg_807.png,93,137
sun_reg_808.png,143,197
sun_reg_809.png,199,173
sun_reg_810.png,211,69
sun_reg_811.png,153,152
sun_reg_812.png,139,105
sun_reg_813.png,66,49
sun_reg_814.png,135,160
sun_reg_815.png,45,42
sun_reg_816.png,198,118
sun_reg_817.png,145,174
sun_reg_818.png,96,165
sun_reg_819.png,188,172
sun_reg_820.png,57,131
sun_reg_821.png,70,160
sun_reg_822.png,186,181
sun_reg_823.png,130,110
sun_reg_824.png,101,182
sun_reg_825.png,206,140
sun_reg_826.png,168,183
sun_reg_827.png,211,64
sun_reg_828.png,96,102
sun_reg_829.png,181,126
sun_reg_830.png,208,203
sun_reg_831.png,155,76
sun_reg_832.png,188,157
sun_reg_833.png,93,207
sun_reg_834.png,150,109
sun_reg_835.png,152,159
sun_reg_836.png,101,224
sun_reg_837.png,69,59
sun_reg_838.png,219,194
sun_reg_839.png,54,204
sun_reg_840.png,182,42
sun_reg_841.png,221,139
sun_reg_842.png,101,218
sun_reg_843.png,184,105
sun_reg_844.png,180,96
sun_reg_845.png,187,106
sun_reg_846.png,180,59
sun_reg_847.png,87,147
sun_reg_848.png,159,167
sun_reg_849.png,69,108
sun_reg_850.png,106,174
sun_reg_851.png,79,155
sun_reg_852.png,115,109
sun_reg_853.png,32,138
sun_reg_854.png,182,96
sun_reg_855.png,171,187
sun_reg_856.png,72,141
sun_reg_857.png,58,146
sun_reg_858.png,185,156
sun_reg_859.png,187,67
sun_reg_860.png,180,178
sun_reg_861.png,60,203
sun_reg_862.png,139,156
sun_reg_863.png,143,125
sun_reg_864.png,130,202
sun_reg_865.png,150,128
sun_reg_866.png,108,61
sun_reg_867.png,61,59
sun_reg_868.png,69,63
sun_reg_869.png,165,69
sun_reg_870.png,133,149
sun_reg_871.png,140,182
sun_reg_872.png,142,48
sun_reg_873.png,166,198
sun_reg_874.png,164,206
sun_reg_875.png,184,131
sun_reg_876.png,112,86
sun_reg_877.png,159,105
sun_reg_878.png,150,35
sun_reg_879.png,127,148
sun_reg_880.png,132,45
sun_reg_881.png,211,54
sun_reg_882.png,131,77
sun_reg_883.png,218,211
sun_reg_884.png,131,119
sun_reg_885.png,68,147
sun_reg_886.png,100,95
sun_reg_887.png,150,87
sun_reg_888.png,105,107
sun_reg_889.png,177,158
sun_reg_890.png,51,221
sun_reg_891.png,51,93
sun_reg_892.png,168,52
sun_reg_893.png,97,154
sun_reg_894.png,54,191
sun_reg_895.png,99,77
sun_reg_896.png,93,53
sun_reg_897.png,180,54
sun_reg_898.png,220,64
sun_reg_899.png,132,100
sun_reg_900.png,35,99
sun_reg_901.png,75,129
sun_reg_902.png,71,203
sun_reg_903.png,123,91
sun_reg_904.png,222,145
sun_reg_905.png,71,222
sun_reg_906.png,93,142
sun_reg_907.png,158,162
sun_reg_908.png,189,121
sun_reg_909.png,47,149
sun_reg_910.png,110,81
sun_reg_911.png,87,190
sun_reg_912.png,38,175
sun_reg_913.png,133,53
sun_reg_914.png,107,48
sun_reg_915.png,155,65
sun_reg_916.png,187,192
sun_reg_917.png,224,160
sun_reg_918.png,71,167
sun_reg_919.png,38,113
sun_reg_920.png,187,61
sun_reg_921.png,92,150
sun_reg_922.png,36,47
sun_reg_923.png,149,96
sun_reg_924.png,224,201
sun_reg_925.png,221,146
sun_reg_926.png,71,216
sun_reg_927.png,94,154
sun_reg_928.png,194,38
sun_reg_929.png,111,64
sun_reg_930.png,43,48
sun_reg_931.png,91,113
sun_reg_932.png,86,32
sun_reg_933.png,214,220
sun_reg_934.png,171,183
sun_reg_935.png,134,128
sun_reg_936.png,88,139
sun_reg_937.png,204,201
sun_reg_938.png,187,108
sun_reg_939.png,103,46
sun_reg_940.png,165,84
sun_reg_941.png,40,78
sun_reg_942.png,46,160
sun_reg_943.png,209,108
sun_reg_944.png,100,214
sun_reg_945.png,198,207
sun_reg_946.png,69,155
sun_reg_947.png,96,201
sun_reg_948.png,77,75
sun_reg_949.png,162,215
sun_reg_950.png,54,120
sun_reg_951.png,65,216
sun_reg_952.png,173,177
sun_reg_953.png,120,69
sun_reg_954.png,197,184
sun_reg_955.png,200,116
sun_reg_956.png,112,72
sun_reg_957.png,198,55
sun_reg_958.png,138,191
sun_reg_959.png,104,198
sun_reg_960.png,222,32
sun_reg_961.png,62,181
sun_reg_962.png,93,36
sun_reg_963.png,206,216
sun_reg_964.png,179,72
sun_reg_965.png,215,183
sun_reg_966.png,118,194
sun_reg_967.png,198,205
sun_reg_968.png,66,100
sun_reg_969.png,61,209
sun_reg_970.png,165,41
sun_reg_971.png,78,90
sun_reg_972.png,37,184
sun_reg_973.png,198,158
sun_reg_974.png,110,131
sun_reg_975.png,37,55
sun_reg_976.png,190,144
sun_reg_977.png,144,214
sun_reg_978.png,64,195
sun_reg_979.png,119,204
sun_reg_980.png,57,47
sun_reg_981.png,43,70
sun_reg_982.png,204,112
sun_reg_983.png,60,151
sun_reg_984.png,173,118
sun_reg_985.png,48,119
sun_reg_986.png,220,173
sun_reg_987.png,45,183
sun_reg_988.png,73,128
sun_reg_989.png,201,75
sun_reg_990.png,150,88
sun_reg_991.png,118,196
sun_reg_992.png,35,90
sun_reg_993.png,166,148
sun_reg_994.png,78,179
sun_reg_995.png,71,54
sun_reg_996.png,114,106
sun_reg_997.png,139,139
sun_reg_998.png,98,182
sun_reg_999.png,65,135
